sample_id,volume_cm3,surface_area_cm2,bbox_x_mm,bbox_y_mm,bbox_z_mm,triangle_count,overhang_ratio,max_overhang_angle,min_wall_thickness_mm,avg_wall_thickness_mm,complexity_index,aspect_ratio,is_watertight,shell_count,com_offset_ratio,flat_base_area_mm2,intended_use,surface_finish,needs_flexibility,strength_required,budget_priority,outdoor_use,technology,material,layer_height_mm,infill_density_pct,print_speed_mm_s,wall_line_count,cooling_fan_speed_pct,support_density_pct,filament_used_g,estimated_print_time_s,total_layers,source
624d856d,0.5684,9.3404,15.39,11.31,9.47,4628,0.4978,38.35,1.649,5.878,16.4338,1.6251,True,4,0.0887,36.6693,decorative,standard,True,medium,cost,True,FDM,TPU,0.2295,16.6094,30.7569,4,60.0492,16.1522,6.72,39346.6,41,synthetic
5b03ea11,44.3712,52.4646,80.2,55.55,65.25,9238,0.2609,22.01,1.47,4.464,1.1824,1.4437,True,1,0.1613,1482.8422,prototype,fine,False,medium,quality,False,SLA,Resin-Standard,0.0743,100.0,0.0,1,0.0,11.3077,48.81,13547.5,878,synthetic
3eb3832a,944.0866,748.7591,130.85,111.97,120.65,146173,0.3435,26.69,12.483,30.486,0.7931,1.1686,True,1,0.0068,1373.008,prototype,standard,False,medium,speed,False,FDM,PETG,0.2871,18.0516,75.6812,3,51.2221,6.493,3050.49,7255285.6,420,synthetic
cb59cf35,9.9172,20.2836,25.29,35.7,24.64,8501,0.6746,49.75,1.571,2.422,2.0453,1.4489,False,1,0.1448,284.8092,functional,standard,True,medium,speed,False,FDM,TPU,0.1842,42.7327,42.2873,4,64.2457,23.4631,9.53,40581.7,133,synthetic
8e53b21c,250.5094,519.5108,71.41,115.79,83.97,138265,0.665,55.64,17.349,29.348,2.0738,1.6215,True,1,0.0342,1083.9628,functional,standard,False,medium,speed,False,FDM,PETG,0.1802,38.5957,63.3765,3,47.0286,10.5404,2022.27,5743596.0,465,synthetic
16cf7aa0,3.362,31.2263,20.96,17.56,22.2,14547,0.2243,19.44,2.077,3.535,9.2879,1.2642,False,1,0.0725,106.5711,functional,fine,False,high,cost,False,SLA,Resin-Engineering,0.0694,100.0,0.0,0,0.0,18.0605,3.87,4765.9,319,synthetic
b31f1ad4,231.1265,528.6273,115.76,158.42,121.37,212723,0.3246,28.45,13.451,33.918,2.2872,1.3685,True,1,0.0522,3508.8148,functional,standard,False,medium,quality,False,FDM,PETG,0.2112,40.783,62.0158,3,60.0842,6.7076,2360.9,6852494.0,574,synthetic
643e47b0,85.4677,86.7109,72.87,54.15,42.62,32549,0.7854,64.14,6.919,18.052,1.0145,1.7098,True,1,0.1367,579.719,functional,standard,False,high,quality,False,FDM,ABS,0.1871,79.6222,57.2467,4,2.1355,18.4157,212.33,667635.9,227,synthetic
325db59f,3.3842,11.7481,21.78,18.43,18.18,3370,0.0937,6.85,1.106,2.526,3.4715,1.198,True,1,0.2808,88.4145,prototype,standard,False,medium,cost,False,FDM,PLA,0.2245,23.0858,65.6962,2,99.4388,6.9925,4.36,11940.2,80,synthetic
a8267bef,3.618,31.5577,23.93,21.02,14.15,11758,0.0188,1.54,1.495,2.504,8.7224,1.6912,True,1,0.0955,47.986,prototype,standard,False,high,quality,False,SLA,Resin-Standard,0.109,100.0,0.0,0,0.0,0.0,3.98,2438.1,129,synthetic
