iter	Logloss
0	0.6794742493
1	0.6663131163
2	0.6534191393
3	0.6410784315
4	0.6294582234
5	0.6181656435
6	0.6074086249
7	0.5970308813
8	0.5892438971
9	0.5796380312
10	0.5703890325
11	0.5615270078
12	0.552989822
13	0.5446683314
14	0.5367167772
15	0.5291508781
16	0.5218972161
17	0.5148816367
18	0.5081130807
19	0.5017479906
20	0.4956130257
21	0.489790763
22	0.4840944671
23	0.4786984363
24	0.4734495953
25	0.4685276131
26	0.4636906897
27	0.459105536
28	0.4545168062
29	0.4501650154
30	0.4460018341
31	0.4419163195
32	0.4387215286
33	0.4350126273
34	0.4315130464
35	0.428161415
36	0.4248788169
37	0.4216643009
38	0.4187009986
39	0.4158178293
40	0.4129757961
41	0.4102470515
42	0.4076363443
43	0.4051527329
44	0.4027107173
45	0.4008248156
46	0.3986346465
47	0.3969598488
48	0.3947899189
49	0.3932673562
50	0.391268089
51	0.3893802401
52	0.3880081099
53	0.3862851326
54	0.3845208559
55	0.3833644968
56	0.3816341291
57	0.3800589288
58	0.3790338689
59	0.3775689403
60	0.376424815
61	0.37537114
62	0.3740504716
63	0.3732099861
64	0.3719581705
65	0.3710329556
66	0.3700701949
67	0.369371819
68	0.3685140071
69	0.3676252272
70	0.3665565083
71	0.3659647047
72	0.3652270216
73	0.3645017428
74	0.3638391267
75	0.3632334589
76	0.3625681702
77	0.3619597335
78	0.3611119994
79	0.3604314327
80	0.3599206525
81	0.3590485126
82	0.3581585297
83	0.3573956671
84	0.3566764578
85	0.3562786271
86	0.3557454421
87	0.355394121
88	0.3547201557
89	0.3542769631
90	0.3535324926
91	0.353046967
92	0.3524290597
93	0.3519851486
94	0.3515201559
95	0.3511804274
96	0.3505553283
97	0.3501383056
98	0.3498544681
99	0.3494196347
100	0.3491907557
101	0.3488377016
102	0.3485692753
103	0.3484183213
104	0.348116366
105	0.3477086949
106	0.3472517848
107	0.346857638
108	0.3464846464
109	0.3461742657
110	0.3456869596
111	0.3452150719
112	0.3448767598
113	0.3446596732
114	0.3441734623
115	0.3436843602
116	0.343461016
117	0.3432887178
118	0.3429963168
119	0.3428496688
120	0.3426758199
121	0.3424929583
122	0.3423604529
123	0.3422781917
124	0.3420449127
125	0.341801591
126	0.3415583605
127	0.3414038144
128	0.3411357707
129	0.3409310105
130	0.3407932068
131	0.3404395841
132	0.3401869924
133	0.3399496359
134	0.3397262011
135	0.3394204129
136	0.3392136048
137	0.3390589919
138	0.3388875897
139	0.3385340253
140	0.3383691003
141	0.3381492605
142	0.3379366766
143	0.3377450997
144	0.3375174391
145	0.3371803538
146	0.3369484899
147	0.3367568776
148	0.3364118002
149	0.3361329083
150	0.3359881305
151	0.3357647281
152	0.3355900319
153	0.335389415
154	0.3351169126
155	0.3348781608
156	0.3347315656
157	0.3345423474
158	0.3343303436
159	0.3340773338
160	0.3337754808
161	0.3335071213
162	0.3333664787
163	0.3331758989
164	0.3330363471
165	0.3327730478
166	0.332624842
167	0.3324972904
168	0.3322301685
169	0.3321132041
170	0.3319310537
171	0.3317529721
172	0.3315588747
173	0.3313068375
174	0.3311269623
175	0.3309668465
176	0.3307829208
177	0.3305970919
178	0.3304698345
179	0.3302146448
180	0.3300685697
181	0.3298497618
182	0.3297599032
183	0.3294536192
184	0.3292585895
185	0.3289866657
186	0.3286435971
187	0.3283962159
188	0.3281654497
189	0.3278943841
190	0.3277077953
191	0.3274724391
192	0.327327721
193	0.3270075792
194	0.3268601547
195	0.3266310373
196	0.3264946959
197	0.3262685662
198	0.326115124
199	0.3259971343
