iter	Passed	Remaining
0	2	430
1	4	409
2	6	408
3	8	412
4	10	393
5	11	386
6	14	386
7	16	384
8	18	382
9	19	379
10	21	376
11	23	372
12	25	370
13	27	367
14	29	364
15	31	359
16	33	357
17	35	357
18	37	355
19	39	353
20	41	350
21	43	350
22	45	347
23	47	346
24	49	343
25	51	341
26	53	340
27	55	342
28	58	343
29	60	342
30	62	341
31	64	339
32	66	337
33	68	334
34	70	330
35	71	326
36	73	324
37	75	322
38	77	319
39	79	317
40	81	315
41	83	313
42	85	310
43	87	309
44	88	306
45	90	304
46	92	301
47	94	297
48	95	294
49	97	291
50	99	289
51	101	287
52	102	285
53	105	283
54	106	281
55	108	278
56	109	275
57	111	272
58	113	270
59	114	267
60	116	264
61	117	261
62	119	259
63	120	255
64	121	252
65	123	251
66	125	248
67	127	247
68	129	245
69	130	243
70	132	240
71	134	238
72	135	236
73	137	233
74	138	231
75	140	229
76	142	227
77	143	224
78	145	222
79	147	220
80	148	218
81	150	215
82	151	213
83	153	212
84	155	210
85	157	208
86	159	207
87	161	206
88	163	204
89	165	202
90	167	200
91	168	198
92	170	195
93	171	193
94	173	191
95	175	189
96	177	187
97	178	186
98	180	184
99	182	182
100	183	180
101	185	178
102	186	176
103	188	173
104	189	171
105	191	169
106	192	167
107	194	165
108	195	163
109	197	161
110	198	159
111	200	157
112	201	155
113	203	153
114	204	151
115	206	149
116	207	147
117	209	145
118	210	143
119	212	141
120	213	139
121	215	137
122	217	135
123	218	133
124	220	132
125	221	130
126	223	128
127	225	126
128	226	124
129	228	122
130	230	121
131	232	119
132	234	117
133	235	116
134	237	114
135	239	112
136	241	110
137	242	108
138	244	107
139	245	105
140	247	103
141	249	101
142	250	99
143	252	98
144	254	96
145	255	94
146	257	92
147	258	90
148	260	89
149	261	87
150	263	85
151	264	83
152	266	81
153	267	80
154	269	78
155	271	76
156	273	74
157	274	73
158	276	71
159	277	69
160	279	67
161	280	65
162	282	64
163	284	62
164	286	60
165	288	59
166	290	57
167	292	55
168	293	53
169	295	52
170	296	50
171	298	48
172	300	46
173	301	45
174	303	43
175	304	41
176	306	39
177	307	38
178	309	36
179	311	34
180	312	32
181	314	31
182	315	29
183	317	27
184	318	25
185	320	24
186	322	22
187	324	20
188	325	18
189	327	17
190	329	15
191	330	13
192	332	12
193	333	10
194	335	8
195	337	6
196	338	5
197	340	3
198	342	1
199	344	0
