number,value,params_learning_rate,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,state
0,0.8815701348546515,0.017155187458635295,26,200,46,0.00402719540428634,COMPLETE
1,0.8789820017474995,0.024373700083914655,38,300,125,0.0003770258549340089,COMPLETE
2,0.8815701348546515,0.08479543079536973,50,250,29,0.016448425920977266,COMPLETE
3,0.8800572145081055,0.1489393407071062,24,450,55,0.08342392913067638,COMPLETE
4,0.8804948228399991,0.018941561895181126,35,400,47,0.0314949778215439,COMPLETE
5,0.8804948228399991,0.04076240480094955,29,150,37,1.4516219125225929,COMPLETE
6,0.8777301800053734,0.2594989815290903,28,150,63,0.035674240361867456,COMPLETE
7,0.8784530154880649,0.12044671292504903,12,100,127,0.0004297084544567454,COMPLETE
8,0.8803183369144324,0.1056742502464997,21,250,15,0.0001965154172907909,COMPLETE
9,0.8815701348546515,0.03285878784344749,27,450,94,7.317481773238126,COMPLETE
10,0.8800572145081055,0.01712617063575696,6,350,80,0.003851049331439636,COMPLETE
11,0.8803183369144324,0.06677730462082003,50,250,22,0.002943705802944723,COMPLETE
12,0.8812986813608995,0.011475398095110024,49,200,35,0.0046415270383385505,COMPLETE
13,0.8815701348546515,0.0668629483886488,43,300,33,0.23935523320772395,COMPLETE
14,0.8800572145081055,0.06131708256394197,17,200,75,0.010676884138323784,COMPLETE
15,0.8815701348546515,0.2544850791576272,34,100,55,0.0010390248141301842,COMPLETE
16,0.8815701348546515,0.010262824835393274,42,250,43,0.34093780123520717,COMPLETE
17,0.8800572145081055,0.04001686256175798,15,350,93,0.020907487361987373,COMPLETE
18,0.8815701348546515,0.08857390440648469,33,200,25,0.0011023199419642833,COMPLETE
19,0.8789820017474995,0.164021382442736,44,350,65,0.28492867244866094,COMPLETE
20,0.8784530154880649,0.029139036188746324,22,500,52,0.01058582535941618,COMPLETE
21,0.8815701348546515,0.03748092340585889,26,500,104,8.382950253880908,COMPLETE
22,0.8804948228399991,0.01666290542138605,30,400,96,9.062668854307125,COMPLETE
23,0.8804948228399991,0.02440331713906393,18,150,113,1.7810930527672086,COMPLETE
24,0.8800572145081055,0.045646411106072704,39,300,86,0.08005484685259162,COMPLETE
25,0.8815701348546515,0.013501851759222335,31,450,67,0.0015051848271231104,COMPLETE
26,0.8803183369144324,0.031231095543002827,25,250,24,0.009760277321960255,COMPLETE
27,0.8804948228399991,0.02428785816632074,21,200,110,1.306019666930322,COMPLETE
