number,value,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,state
0,0.8745278996865204,5,200,2.8794987027743084,0.016086168279599335,COMPLETE
1,0.8745278996865204,5,200,9.46422997585095,0.04725465634350337,COMPLETE
2,0.8745278996865204,6,400,4.251098613974169,0.014124569718730218,COMPLETE
3,0.8723557692307693,6,150,6.15968271179479,0.19038215458238478,COMPLETE
4,0.8723557692307693,6,450,3.839353742634965,0.029512917376640812,COMPLETE
5,0.8745278996865204,5,400,4.679709109196773,0.017552717730729438,COMPLETE
6,0.8745278996865204,6,300,1.5819590422863894,0.017073525411384016,COMPLETE
7,0.8658709860755897,4,300,9.0648208126377,0.12104288105929664,COMPLETE
8,0.8745278996865204,7,250,1.0370303152842195,0.045261430514826465,COMPLETE
9,0.8615732571144525,4,400,1.3385505587667244,0.19602869635318174,COMPLETE
10,0.8745278996865204,10,100,2.2906878914446054,0.02913848757460955,COMPLETE
11,0.8745278996865204,3,200,2.6602121610768448,0.06315451552878835,COMPLETE
12,0.8723557692307693,8,200,9.505375395583927,0.07628594815049813,COMPLETE
13,0.8745278996865204,4,100,2.0688194176703685,0.028870630851670156,COMPLETE
14,0.8745278996865204,8,200,5.740417294612561,0.010597640430531194,COMPLETE
15,0.8745278996865204,3,250,3.377243158337127,0.04889340456882277,COMPLETE
16,0.8745278996865204,5,150,6.790874990356256,0.08975325690979885,COMPLETE
17,0.8745278996865204,5,250,2.856228597641671,0.025903940149689567,COMPLETE
18,0.8723557692307693,8,350,1.8880041720647034,0.02122119194254051,COMPLETE
19,0.8723557692307693,7,500,4.747335395270128,0.03948228629785694,COMPLETE
20,0.8745278996865204,10,150,7.903495463927681,0.010602726866891817,COMPLETE
21,0.8745278996865204,5,350,4.014231932540585,0.014023780135988066,COMPLETE
22,0.8745278996865204,7,500,4.924895980147068,0.012827208040828467,COMPLETE
23,0.8745278996865204,6,300,3.2966896257619966,0.03826099844416696,COMPLETE
24,0.8745278996865204,4,400,7.566853284284377,0.01935154469811448,COMPLETE
25,0.8723557692307693,5,350,2.8538573776583767,0.05236368433753804,COMPLETE
26,0.8745278996865204,9,200,2.3079837263174725,0.014512613773677659,COMPLETE
27,0.8701889660621153,6,250,4.094325020518131,0.035010939125920335,COMPLETE
28,0.8745278996865204,4,450,1.7239372292383197,0.023263061270948755,COMPLETE
29,0.8723557692307693,7,150,5.205349676302617,0.09719683566534112,COMPLETE
30,0.8723557692307693,5,150,5.598285253204378,0.14102212923686971,COMPLETE
31,0.8745278996865204,5,400,6.677993547183697,0.016556460275871106,COMPLETE
32,0.8745278996865204,6,400,4.500701875621647,0.011731110981853142,COMPLETE
33,0.8745278996865204,6,450,3.865463757301289,0.016634050633164553,COMPLETE
